image,manual_nuclei_count,automatic_nuclei_count,manual_area_px,automatic_area_px,count_difference,area_difference_px
ALL_1.bmp,6,4,261240,286622,-2,25382
ALL_2.bmp,6,5,199525,108915,-1,-90610
ALL_3.bmp,11,70,346263,929912,59,583649
ALL_4.bmp,3,46,115308,313991,43,198683
ALL_5.bmp,4,76,156413,792809,72,636396
ALL_6.bmp,6,15,202450,288888,9,86438
ALL_7.bmp,7,40,305940,690056,33,384116
ALL_8.bmp,11,80,359705,1041827,69,682122
ALL_9.bmp,3,8,125685,241156,5,115471
ALL_10.bmp,4,5,151170,45352,1,-105818
